Structure,Operation,Size,NanosecondsPerOp
ArrayList,get,1000,19
MyArrayList,get,1000,18
ArrayList,add,1000,20
MyArrayList,add,1000,24
ArrayList,get,10000,20
MyArrayList,get,10000,9
ArrayList,add,10000,23
MyArrayList,add,10000,56
ArrayList,get,100000,11
MyArrayList,get,100000,11
ArrayList,add,100000,33
MyArrayList,add,100000,25
ArrayList,get,1000000,94
MyArrayList,get,1000000,94
ArrayList,add,1000000,32
MyArrayList,add,1000000,39
HashMap,get,1000,19
MyHashMap,get,1000,19
HashMap,put,1000,210
MyHashMap,put,1000,209
HashMap,containsKey,1000,21
MyHashMap,containsKey,1000,21
HashMap,get,10000,27
MyHashMap,get,10000,50
HashMap,put,10000,196
MyHashMap,put,10000,176
HashMap,containsKey,10000,20
MyHashMap,containsKey,10000,31
HashMap,get,100000,44
MyHashMap,get,100000,49
HashMap,put,100000,232
MyHashMap,put,100000,201
HashMap,containsKey,100000,27
MyHashMap,containsKey,100000,26
HashMap,get,1000000,97
MyHashMap,get,1000000,102
HashMap,put,1000000,142
MyHashMap,put,1000000,132
HashMap,containsKey,1000000,97
MyHashMap,containsKey,1000000,99
