Structure,Operation,Size,NanosecondsPerOp
ArrayList,get(index),1000,8
ArrayList,add-at-end,1000,24
ArrayList,add-at-front,1000,122855
LinkedList,get(index),1000,157
LinkedList,add-at-end,1000,145
LinkedList,add-at-front,1000,141
ArrayDeque,add-at-end,1000,15
ArrayDeque,add-at-front,1000,17
HashSet,contains,1000,13
HashSet,add,1000,119
TreeSet,contains,1000,49
TreeSet,add,1000,501
HashMap,put,1000,137
HashMap,get,1000,12
HashMap,containsKey,1000,12
TreeMap,put,1000,570
TreeMap,get,1000,45
TreeMap,containsKey,1000,48
PriorityQueue,offer,1000,27
PriorityQueue,poll,1000,3
PriorityQueue,peek,1000,2
